No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf,Prediksi,Benar
73,Dori Cabai Garam,ikan,395,jagung nasi merah nasi putih,ikan dori tumis cabai garam pedas gurih,"['nasi', 'putih', 'jagung', 'merah']",dori cabai garam ikan jagung nasi merah nasi putih ikan dori tumis cabai garam pedas gurih,"jagung, nasi merah, nasi putih",dori cabai garam,ikan dori tumis cabai garam pedas gurih,protein_ikan,dori cabai garam protein_ikan,dori cabai garam ikan dori tumis cabai garam pedas gurih nasi putih jagung merah protein_ikan,dori cabai garam ikan dori tumis cabai garam pedas gurih,ikan,True
461,Tempe Mendoan,vegetarian,240,nasi putih,tempe goreng dengan tepung bertekstur renyah lauk tahu,"['nasi', 'putih']",tempe mendoan vegetarian nasi putih tempe goreng dengan tepung bertekstur renyah lauk tahu,nasi putih,tempe mendoan,tempe goreng dengan tepung bertekstur renyah lauk tahu,protein_vegetarian,tempe mendoan protein_vegetarian,tempe mendoan tempe goreng dengan tepung bertekstur renyah lauk tahu nasi putih protein_vegetarian,tempe mendoan tempe goreng dengan tepung bertekstur renyah lauk tahu,vegetarian,True
492,Sayur Lodeh Labu Siam,vegetarian,220,nasi merah,sayur santan labu siam dan kacang panjang gurih,"['nasi', 'merah']",sayur lodeh labu siam vegetarian nasi merah sayur santan labu siam dan kacang panjang gurih,nasi merah,sayur lodeh labu siam,sayur santan labu siam dan kacang panjang gurih,protein_vegetarian,sayur lodeh labu siam protein_vegetarian,sayur lodeh labu siam sayur santan labu siam dan kacang panjang gurih nasi merah protein_vegetarian,sayur lodeh labu siam sayur santan labu siam dan kacang panjang gurih,vegetarian,True
112,Dori Sambal Matah,ikan,390,kentang ubi nasi merah nasi putih,ikan dori sambal matah segar sayuran kukus,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",dori sambal matah ikan kentang ubi nasi merah nasi putih ikan dori sambal matah segar sayuran kukus,"kentang, ubi, nasi merah, nasi putih",dori sambal matah,ikan dori sambal matah segar sayuran kukus,protein_ikan,dori sambal matah protein_ikan,dori sambal matah ikan dori sambal matah segar sayuran kukus nasi merah ubi putih kentang protein_ikan,dori sambal matah ikan dori sambal matah segar sayuran kukus,ikan,True
416,Torikatsu Ayam Ramen Chef S Choice,ayam,537,nasi merah,menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",torikatsu chicken ramen chef s choice ayam nasi merah menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,torikatsu ayam ramen chef s choice,menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,torikatsu ayam ramen chef s choice protein_ayam,torikatsu ayam ramen chef s choice menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,torikatsu ayam ramen chef s choice menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
310,Ayam Soy Garlic Yangnyeom Super,ayam,544,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",chicken soy garlic yangnyeom supreme ayam nasi merah menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam soy garlic yangnyeom super,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam soy garlic yangnyeom super protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
93,Ayam Sambel Geprek,ayam,395,kentang nasi merah nasi putih,ayam geprek sambal pedas disajikan sayur sop,"['nasi', 'putih', 'kentang', 'merah']",ayam sambel geprek ayam kentang nasi merah nasi putih ayam geprek sambal pedas disajikan sayur sop,"kentang, nasi merah, nasi putih",ayam sambel geprek,ayam geprek sambal pedas disajikan sayur sop,protein_ayam,ayam sambel geprek protein_ayam,ayam sambel geprek ayam geprek sambal pedas disajikan sayur sop nasi putih kentang merah protein_ayam,ayam sambel geprek ayam geprek sambal pedas disajikan sayur sop,ayam,True
206,Rawon Surabaya Lengkap,sapi,447,kentang nasi merah nasi putih,menu rawon surabaya lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",rawon surabaya lengkap sapi kentang nasi merah nasi putih menu rawon surabaya lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",rawon surabaya lengkap,menu rawon surabaya lengkap yang sehat dan lezat,,rawon surabaya lengkap protein_sapi,rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat nasi putih kentang merah ,rawon surabaya lengkap menu rawon surabaya lengkap yang sehat dan lezat,sapi,True
323,Opor Susu Legenda Spesial,ayam,511,nasi merah,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",opor susu legenda special lainnya nasi merah menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,opor susu legenda spesial,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda spesial opor susu legenda spesial,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
160,Soto Bandung Lengkap,ayam,355,jagung nasi merah nasi putih,menu soto bandung lengkap yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",soto bandung lengkap sapi jagung nasi merah nasi putih menu soto bandung lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih",soto bandung lengkap,menu soto bandung lengkap yang sehat dan lezat,,soto bandung lengkap soto bandung lengkap,soto bandung lengkap menu soto bandung lengkap yang sehat dan lezat nasi putih jagung merah ,soto bandung lengkap menu soto bandung lengkap yang sehat dan lezat,ayam,True
