No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat
1,Dori Cabe Garam,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ikan dori tumis, rasa pedas gurih, rendah minyak"
2,Sempol Ayam Grill,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam olahan panggang, tinggi protein, snack sehat"
3,Soto Ayam Spesial,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Soto ayam kuah bening, tanpa santan, lauk lengkap"
4,Beef Yakiniku,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Daging sapi yakiniku, tumis sayur, saus gurih"
5,Rawon Surabaya,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Boiled Egg, Tempe","Daging rawon empuk, kuah rempah, lauk tempe"
6,Chicken Teriyaki Grill,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Salad Sayur","Ayam panggang saus teriyaki, tanpa santan"
7,Ayam Serundeng,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ayam bumbu serundeng, tumis sayur, protein nabati"
8,Dori Saus Mentega,Ikan,395,"Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ikan dori lembut, saus mentega gurih, tidak pedas"
9,Chicken Curry,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Kari ayam bumbu rempah, tanpa santan, rendah lemak"
10,Bola Ayam Crispy,Ayam,390,"Jagung, Ubi, Nasi Merah, Nasi Putih","Salad Sayur","Bola daging ayam garing, disajikan dengan salad segar"
11,Cah Ayam Jamur,Ayam,400,"Jagung, Nasi Merah, Kentang","Tumis Sayur, Tofu","Tumis ayam dan jamur, kaya protein, menu klasik"
12,Chicken Patty Crispy,Ayam,390,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Sunny Egg","Patty ayam renyah, disajikan dengan telur mata sapi"
13,Ayam Saus Wijen,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam tumis dengan saus wijen, rasa gurih"
14,Cah Tahu Sapi,Sapi,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Tumis tahu dan daging sapi cincang, protein seimbang"
15,Soto Bandung,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg, Snack","Soto daging sapi kuah bening, khas Bandung"
16,Chicken Herbs Grill & Egg Tortila,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Salad Sayur","Ayam panggang bumbu herbal, dengan tortila telur"
17,Chicken Blackpepper,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam lada hitam, tumis sayuran, rasa pedas hangat"
18,Dori Popcorn,Ikan,395,"","Pasta Creamy Sauce, Steamed Vege","Potongan dori renyah, disajikan dengan pasta saus krim"
19,Soto Daging Spesial,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Bihun & Tauge, Boiled Egg","Soto daging kuah kaya rempah, lauk lengkap"
20,Cah Buncis Ayam,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Tempe, Snack","Tumis buncis dengan ayam cincang, lauk tempe"
21,Rolade Ayam,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Sayur Sop, Snack","Rolade ayam kukus, disajikan dengan sayur sop"
22,Chicken Grill Sambal Matah,Ayam,395,"Jagung, Ubi, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam panggang, disajikan dengan sambal matah segar"
23,Dori Katsu Balado,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Katsu ikan dori, bumbu balado pedas, tidak berminyak"
24,Tahu Bakso Kuah,Sapi,395,"","Steamed Vege, Bihun, Snack","Tahu bakso sapi, kuah kaldu segar, tanpa santan"
25,Chicken Woku,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ayam bumbu woku khas Manado, pedas dan wangi"
26,Beef Burger,Sapi,395,"","Salad Sayur, Snack","Burger patty sapi, disajikan tanpa roti, dengan salad"
27,Cah Sapi Buncis,Sapi,400,"Jagung, Nasi Merah, Nasi Putih","Sunny Egg, Snack","Tumis buncis dan daging sapi cincang, lauk telur"
28,Ayam Saus Mentega,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam tumis saus mentega klasik, gurih"
29,Chicken Honey,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Cah Pakcoy Jamur, Tofu","Ayam panggang saus madu, rasa manis gurih"
30,Fish Stick Saus Korea,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Stik ikan renyah, saus korea gochujang, pedas manis"
31,Bola Daging Teriyaki,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Sayur Sop, Snack","Bola daging sapi, saus teriyaki, dengan sayur sop"
32,Chicken Crispy Saus Barbeque,Ayam,395,"Kentang, Ubi, Nasi Merah, Nasi Putih","Steamed Vege","Ayam renyah, saus barbeque buatan sendiri"
33,Ayam Maranggi,Ayam,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tempe","Sate ayam maranggi tanpa tusuk, bumbu rempah"
34,Bola Ayam Saus Asam Pedas,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Bola ayam, saus asam pedas segar, tumis sayur"
35,Dori Katsu,Ikan,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur/Salad Sayur","Katsu ikan dori renyah, pilihan tumis atau salad"
36,Chicken Tomyum,Ayam,395,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam kuah tomyum, rasa asam pedas, tanpa santan"
37,Dori Sambal Ijo,Ikan,400,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Ikan dori, bumbu sambal ijo pedas nikmat"
38,Chicken Salted Egg,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Snack","Ayam saus telur asin, gurih, rendah minyak"
39,Soto Bandung,Sapi,390,"Kentang, Nasi Merah, Nasi Putih","Steamed Vege, Boiled Egg, Snack","Soto daging khas Bandung, kuah bening, lobak"
40,Cah Brokoli Ayam,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Sunny Egg, Tofu","Tumis brokoli segar, ayam cincang, lauk telur"
41,Ayam Saus Wijen,Ayam,395,"Jagung, Nasi Merah, Nasi Putih","Tumis Sayur, Snack","Ayam tumis, saus wijen sangrai, wangi dan gurih"
42,Beef Patty BBQ,Sapi,395,"Ubi, Kentang, Nasi Merah, Nasi Putih","Steamed Vege/Salad Sayur","Patty sapi panggang, saus barbeque, tanpa roti"
43,Ayam Balado,Ayam,385,"Jagung, Nasi Merah, Nasi Putih","Sayur Bayam, Tempe","Ayam bumbu balado, tumis sayur bayam, lauk tempe"
44,Dori Katsu & Pasta Aglio Eolio,Ikan,400,"","Steamed Vege","Katsu ikan dori, disajikan dengan pasta aglio eolio"
45,Chicken Ball Woku,Ayam,390,"Kentang, Nasi Merah, Nasi Putih","Tumis Sayur, Tofu","Bola ayam bumbu woku, pedas kemangi, tumis sayur"
46,Egg Tortila & Baked Chicken Honey,Ayam,397,"Jagung","Steamed Vege","Tortila telur, ayam panggang saus madu, jagung rebus"
47,Soto Betawi,Sapi,400,"Kentang, Nasi Merah, Nasi Putih","Pilihan: Sapi/Ayam, Steamed Vege, Boiled Egg","Soto betawi kuah bening, tanpa santan, kaya rempah"
48,Ayam Saus Mentega,Ayam,400,"Jagung, Nasi Merah, Nasi Putih","Steamed Vege, Tofu","Ayam tumis saus mentega, lauk tahu kukus"
